condition,coor,sample_id,sample_name,amp_scale,gamma_raw,gamma_shape
empty,coor_0,0,trajectories_sample_0,200.2052117853,13962.5185660937,0.3079998344
empty,coor_0,1,trajectories_sample_1,216.2810233068,8889.6592948234,0.1688181461
empty,coor_0,2,trajectories_sample_2,248.1165685381,1938.7498282148,0.0222737008
empty,coor_0,3,trajectories_sample_3,256.0375268929,350.3384535234,0.0042378701
empty,coor_0,4,trajectories_sample_4,268.3665912452,352.8464640119,0.0068417870
empty,coor_0,5,trajectories_sample_5,299.4959664579,4462.8485088943,0.0767829853
empty,coor_0,6,trajectories_sample_6,297.8421318597,7037.5628904547,0.1198102559
empty,coor_0,7,trajectories_sample_7,300.6174146989,11093.7626051659,0.1790650628
20g,coor_0,0,trajectories_sample_0,240.9540029226,3790.4918737160,0.0520066432
20g,coor_0,1,trajectories_sample_1,282.0596237256,3687.2492182583,0.0661070881
20g,coor_0,2,trajectories_sample_2,306.4112166352,67905.4097742446,0.9213573444
20g,coor_0,3,trajectories_sample_3,189.9855614021,20047.4317167030,0.4408786459
20g,coor_0,4,trajectories_sample_4,179.6479222110,24135.6300793170,0.5765243196
20g,coor_0,5,trajectories_sample_5,264.4942298002,2088.7940272939,0.0287963881
20g,coor_0,6,trajectories_sample_6,79.2836982998,83217.2504878778,6.9823359382
20g,coor_0,7,trajectories_sample_7,264.3228900577,1973.4013270993,0.0306591699
20g,coor_1,0,trajectories_sample_0,247.9751256087,2458.8881061647,0.0346419723
20g,coor_1,1,trajectories_sample_1,193.5929922695,18095.3813220695,0.3769713670
20g,coor_1,2,trajectories_sample_2,150.6588141609,37898.5202258451,1.1923619599
20g,coor_1,3,trajectories_sample_3,281.7956357028,6984.8842738613,0.1225844582
20g,coor_1,4,trajectories_sample_4,56.1529570809,89172.3656801125,12.4880580100
20g,coor_1,5,trajectories_sample_5,5.6232160666,120090.0600639434,1217.8962608899
20g,coor_1,6,trajectories_sample_6,291.5464345944,20218.8466815134,0.3139538881
20g,coor_1,7,trajectories_sample_7,3.9665269776,81255.2769782302,2262.3982455290
20g,coor_2,0,trajectories_sample_0,134.1896526788,46145.2404154350,1.7356094839
20g,coor_2,1,trajectories_sample_1,7.1810964949,125024.2169803433,805.9836082659
20g,coor_2,2,trajectories_sample_2,22.4796366459,121679.7403794100,92.4900862097
20g,coor_2,3,trajectories_sample_3,192.0865892673,20133.0714796981,0.4419223983
20g,coor_2,4,trajectories_sample_4,1.1048781827,123782.6484607600,32036.3034278442
20g,coor_2,5,trajectories_sample_5,159.7659581455,34251.8870044340,1.0104693769
20g,coor_2,6,trajectories_sample_6,6.2949396012,121746.7697081570,1071.1209687791
20g,coor_2,7,trajectories_sample_7,16.3520267999,121342.7761302670,163.6878685092
20g,coor_3,0,trajectories_sample_0,285.5788927961,37015.6302016065,0.5609561182
20g,coor_3,1,trajectories_sample_1,108.8615126390,64942.3321632356,3.2632490619
20g,coor_3,2,trajectories_sample_2,73.5861761754,86386.1481945442,7.9832075442
20g,coor_3,3,trajectories_sample_3,82.4702509694,80010.6038592730,6.0714171279
20g,coor_3,4,trajectories_sample_4,129.5514560132,50898.4055842421,1.9408565785
20g,coor_3,5,trajectories_sample_5,281.2376199302,10978.9322570351,0.1837260110
20g,coor_3,6,trajectories_sample_6,4.5692727653,118160.0346230533,1874.8436019686
20g,coor_3,7,trajectories_sample_7,147.4250286766,42248.9591170002,1.3372053017
40g,coor_0,0,trajectories_sample_0,127.7282559496,61473.4500178237,2.2880956572
40g,coor_0,1,trajectories_sample_1,113.6254756384,75542.1753871236,3.3945434219
40g,coor_0,2,trajectories_sample_2,110.6123050499,79259.6526718488,3.7495729641
40g,coor_0,3,trajectories_sample_3,16.7096270941,116381.2194276949,146.1915028114
40g,coor_0,4,trajectories_sample_4,54.5347708186,101892.5965245721,14.4019114828
40g,coor_0,5,trajectories_sample_5,17.5344764671,113618.8400288165,126.9656692731
40g,coor_0,6,trajectories_sample_6,17.2460831859,114014.5578433189,130.8734563998
40g,coor_0,7,trajectories_sample_7,132.6901915245,65936.1540554072,2.3580314211
40g,coor_1,0,trajectories_sample_0,87.8703447019,82393.0751718412,5.2447861996
40g,coor_1,1,trajectories_sample_1,68.8308268952,93335.7024029594,8.8287565610
40g,coor_1,2,trajectories_sample_2,64.8575806639,97311.3188355749,10.3961126498
40g,coor_1,3,trajectories_sample_3,132.0547050116,60554.7931750209,2.1059925039
40g,coor_1,4,trajectories_sample_4,1.6238655073,103261.1157307646,12523.8579152486
40g,coor_1,5,trajectories_sample_5,72.4057331649,91942.4961227576,8.0131332540
40g,coor_1,6,trajectories_sample_6,97.6088684148,80928.3982802230,4.4315644950
40g,coor_1,7,trajectories_sample_7,7.2894386356,107494.8083592654,674.1538878891
40g,coor_2,0,trajectories_sample_0,70.1562078324,96153.2488544228,9.1391063931
40g,coor_2,1,trajectories_sample_1,181.4773511333,42104.4227756392,0.9532864253
40g,coor_2,2,trajectories_sample_2,76.3462471654,98532.7689621921,8.3363111669
40g,coor_2,3,trajectories_sample_3,55.5649714366,106568.1443401788,15.2006453535
40g,coor_2,4,trajectories_sample_4,124.8453221393,70725.8030776666,2.7816078175
40g,coor_2,5,trajectories_sample_5,168.5516896084,46780.1069801971,1.1829104410
40g,coor_2,6,trajectories_sample_6,163.9302808619,50119.8483610566,1.3224469913
40g,coor_2,7,trajectories_sample_7,47.1599512947,109099.6928110255,20.6002315799
40g,coor_3,0,trajectories_sample_0,131.9842718221,62176.5816549825,2.1720949379
40g,coor_3,1,trajectories_sample_1,6.7609770075,83016.3883321920,775.2240636789
40g,coor_3,2,trajectories_sample_2,111.2978241754,79442.3972528195,3.6618622495
40g,coor_3,3,trajectories_sample_3,60.4883313184,100300.0302574721,12.1657731162
40g,coor_3,4,trajectories_sample_4,190.9798251063,34531.6648799402,0.6997215778
40g,coor_3,5,trajectories_sample_5,168.9306170254,47309.8216821346,1.1612514292
40g,coor_3,6,trajectories_sample_6,233.4495023796,22060.4097196080,0.3439772069
40g,coor_3,7,trajectories_sample_7,236.2398615592,18472.5281723614,0.2821063293
100g,coor_0,0,trajectories_sample_0,207.5801471130,42728.3160636056,0.7817030928
100g,coor_0,1,trajectories_sample_1,107.7403072105,73603.1048368474,3.3732027687
100g,coor_0,2,trajectories_sample_2,30.2318716351,77259.2331710335,35.2774123963
100g,coor_0,3,trajectories_sample_3,21.1412531696,56869.0072423131,65.2967304345
100g,coor_0,4,trajectories_sample_4,19.1935932417,76138.4896776941,83.0307154672
100g,coor_0,5,trajectories_sample_5,203.8674038634,54997.6421806223,1.0545755825
100g,coor_0,6,trajectories_sample_6,199.8157667606,57934.4125802145,1.1449761731
100g,coor_0,7,trajectories_sample_7,176.0173827181,61519.3711582650,1.4225989410
100g,coor_1,0,trajectories_sample_0,193.0571793640,44198.9073794717,0.8638616368
100g,coor_1,1,trajectories_sample_1,162.9861373425,53762.1703804338,1.3000994850
100g,coor_1,2,trajectories_sample_2,36.1803601251,68561.5407803596,20.9032069496
100g,coor_1,3,trajectories_sample_3,183.1460541515,46644.8237959272,0.9652776376
100g,coor_1,4,trajectories_sample_4,133.9247248338,60493.2604244282,1.9177267650
100g,coor_1,5,trajectories_sample_5,181.9874266398,48882.9324399441,1.0301655492
